UniqueCount	AmbigCount
25	0
24	0
59	0
27	0
0	0
0	0
22	0
220	0
7	0
22	0
0	0
132	0
16	0
8	0
34	0
42	0
57	0
18	0
15	0
24	0
9	0
32	0
399	0
23	0
17	0
20	0
21	0
17	0
25	3
12	0
20	0
22	0
66	0
0	0
7	0
2	0
34	0
37	0
13	0
17	0
16	0
0	0
17	0
17	0
31	0
7	0
26	0
25	0
17	0
48	0
19	0
10	0
8	0
16	0
7	0
17	0
26	0
64	0
26	0
44	0
18	0
29	0
12	0
9	0
30	0
13	0
17	0
9	0
34	0
13	0
12	0
18	0
0	0
46	0
11	0
20	0
27	0
20	0
28	0
10	0
9	0
13	0
28	0
15	0
19	0
51	10
3	0
9	0
32	0
0	0
33	0
16	0
8	0
78	0
7	0
24	0
10	0
17	0
12	0
34	0
15	0
37	7
26	0
59	0
10	0
23	0
18	0
17	0
11	0
18	0
24	0
6	0
9	0
13	0
14	0
34	0
18	0
116	0
15	0
13	0
32	12
14	0
277	0
9	0
22	0
37	0
14	0
81	0
19	0
17	0
56	0
20	1
21	0
11	0
8	3
8	0
29	0
90	0
4	6
43	0
8	0
7	0
22	0
111	0
9	0
51	0
6	0
10	0
13	0
16	0
45	0
9	0
33	0
21	0
13	0
27	0
45	7
22	0
13	0
31	0
28	0
32	0
11	0
194	0
12	0
25	0
27	0
4	0
32	0
32	3
0	0
17	0
91	0
10	0
10	0
13	0
11	0
31	0
25	0
21	0
9	0
23	0
28	0
0	0
27	0
19	0
43	0
52	0
0	1
47	0
17	0
0	0
15	4
16	0
0	0
56	0
56	0
14	0
4	0
6	0
21	0
11	0
26	0
15	0
10	0
5	0
0	0
26	0
55	0
5	0
12	0
17	0
26	0
0	0
5	0
8	0
36	0
18	0
1	0
15	0
16	0
18	0
14	0
31	0
18	0
31	0
18	0
11	0
7	0
17	0
28	0
4	0
8	0
29	8
22	0
11	0
21	0
29	0
23	0
3	0
11	0
129	0
6	0
33	0
46	0
8	0
11	0
16	0
46	0
0	0
23	0
46	0
6	0
50	0
9	0
13	0
23	0
14	0
12	0
13	0
13	0
18	0
0	0
22	0
18	0
17	0
9	0
30	0
6	0
15	0
32	0
27	0
17	0
9	0
0	0
0	0
17	0
58	0
35	0
13	0
26	0
13	0
0	0
20	0
11	0
41	0
26	0
53	0
6	0
10	0
18	0
31	0
22	0
17	0
7	0
44	0
12	0
0	0
39	0
15	0
13	0
0	0
26	0
27	0
30	0
0	20
0	0
11	0
11	0
19	0
0	0
15	0
15	0
19	0
45	0
80	0
40	0
26	0
36	0
16	0
24	0
5	0
34	0
17	0
15	0
16	0
44	0
5	0
14	0
26	0
11	0
24	0
1	0
19	0
10	0
15	0
16	0
18	0
15	0
0	0
22	2
27	0
17	0
0	0
35	0
32	0
44	0
23	0
